"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"4411,4412: Auto and Other Motor Vehicles: U.S. Total"
"Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 2004 to 2020"
"Data Extracted on: June 25, 2020 (10:30 am)"

Period,Value
Jan-2004,56235
Feb-2004,60208
Mar-2004,72817
Apr-2004,67574
May-2004,71922
Jun-2004,69485
Jul-2004,72936
Aug-2004,70514
Sep-2004,68038
Oct-2004,63129
Nov-2004,59803
Dec-2004,66928
Jan-2005,56755
Feb-2005,61698
Mar-2005,74577
Apr-2005,71728
May-2005,72464
Jun-2005,79125
Jul-2005,81735
Aug-2005,74885
Sep-2005,63626
Oct-2005,57772
Nov-2005,58992
Dec-2005,64885
Jan-2006,60247
Feb-2006,62018
Mar-2006,76416
Apr-2006,70287
May-2006,75339
Jun-2006,74196
Jul-2006,74707
Aug-2006,76418
Sep-2006,66970
Oct-2006,64170
Nov-2006,61655
Dec-2006,65299
Jan-2007,61048
Feb-2007,63931
Mar-2007,77323
Apr-2007,71195
May-2007,78577
Jun-2007,73265
Jul-2007,72619
Aug-2007,77809
Sep-2007,67408
Oct-2007,67717
Nov-2007,61212
Dec-2007,63300
Jan-2008,60169
Feb-2008,63205
Mar-2008,70321
Apr-2008,67336
May-2008,69485
Jun-2008,62743
Jul-2008,62742
Aug-2008,63088
Sep-2008,54121
Oct-2008,48293
Nov-2008,41843
Dec-2008,46201
Jan-2009,44342
Feb-2009,44283
Mar-2009,50742
Apr-2009,49549
May-2009,51414
Jun-2009,52877
Jul-2009,55733
Aug-2009,59811
Sep-2009,46011
Oct-2009,48457
Nov-2009,44357
Dec-2009,49970
Jan-2010,44566
Feb-2010,46213
Mar-2010,60806
Apr-2010,57767
May-2010,58792
Jun-2010,57777
Jul-2010,60194
Aug-2010,59027
Sep-2010,54920
Oct-2010,54589
Nov-2010,52325
Dec-2010,57998
Jan-2011,52158
Feb-2011,56531
Mar-2011,67947
Apr-2011,62778
May-2011,62333
Jun-2011,62666
Jul-2011,62092
Aug-2011,63556
Sep-2011,59708
Oct-2011,58769
Nov-2011,57102
Dec-2011,64334
Jan-2012,55945
Feb-2012,63622
Mar-2012,73814
Apr-2012,66592
May-2012,72489
Jun-2012,68658
Jul-2012,68005
Aug-2012,73174
Sep-2012,64468
Oct-2012,64855
Nov-2012,62875
Dec-2012,67862
Jan-2013,62961
Feb-2013,66549
Mar-2013,76530
Apr-2013,74410
May-2013,79282
Jun-2013,75430
Jul-2013,78589
Aug-2013,81005
Sep-2013,68573
Oct-2013,71109
Nov-2013,68379
Dec-2013,71469
Jan-2014,63806
Feb-2014,68319
Mar-2014,83086
Apr-2014,80609
May-2014,85837
Jun-2014,79495
Jul-2014,83807
Aug-2014,85242
Sep-2014,76277
Oct-2014,76801
Nov-2014,71921
Dec-2014,79897
Jan-2015,71877
Feb-2015,72863
Mar-2015,88803
Apr-2015,86083
May-2015,89874
Jun-2015,86660
Jul-2015,89694
Aug-2015,90183
Sep-2015,83304
Oct-2015,82592
Nov-2015,76888
Dec-2015,86011
Jan-2016,73316
Feb-2016,82156
Mar-2016,92251
Apr-2016,89337
May-2016,90471
Jun-2016,89730
Jul-2016,91401
Aug-2016,95297
Sep-2016,87251
Oct-2016,84441
Nov-2016,82093
Dec-2016,92446
Jan-2017,77407
Feb-2017,81691
Mar-2017,97051
Apr-2017,88867
May-2017,96665
Jun-2017,93660
Jul-2017,93470
Aug-2017,95597
Sep-2017,91196
Oct-2017,88478
Nov-2017,86006
Dec-2017,91638
Jan-2018,80062
Feb-2018,81765
Mar-2018,100330
Apr-2018,90756
May-2018,99850
Jun-2018,95786
Jul-2018,94748
Aug-2018,98950
Sep-2018,87449
Oct-2018,89857
Nov-2018,86713
Dec-2018,93185
Jan-2019,80026
Feb-2019,82022
Mar-2019,101593
Apr-2019,95035
May-2019,103357
Jun-2019,96728
Jul-2019,100916
Aug-2019,106073
Sep-2019,91783
Oct-2019,95254
Nov-2019,93242
Dec-2019,96073
Jan-2020,85823
Feb-2020,90701
Mar-2020,75298
Apr-2020,63001
May-2020,96170
Jun-2020,"NA"
Jul-2020,"NA"
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
