"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"447: Gasoline Stations: U.S. Total"
"Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 2004 to 2020"
"Data Extracted on: June 25, 2020 (10:30 am)"

Period,Value
Jan-2004,22773
Feb-2004,22554
Mar-2004,25602
Apr-2004,26207
May-2004,28578
Jun-2004,28403
Jul-2004,29286
Aug-2004,28729
Sep-2004,27351
Oct-2004,29544
Nov-2004,27676
Dec-2004,27303
Jan-2005,25566
Feb-2005,24982
Mar-2005,29380
Apr-2005,30549
May-2005,31151
Jun-2005,31862
Jul-2005,33888
Aug-2005,36204
Sep-2005,36260
Oct-2005,36557
Nov-2005,31260
Dec-2005,31264
Jan-2006,30800
Feb-2006,29253
Mar-2006,33887
Apr-2006,36002
May-2006,39016
Jun-2006,39126
Jul-2006,40585
Aug-2006,41051
Sep-2006,34830
Oct-2006,33208
Nov-2006,31556
Dec-2006,32662
Jan-2007,30922
Feb-2007,29762
Mar-2007,35603
Apr-2007,36677
May-2007,41378
Jun-2007,40481
Jul-2007,40696
Aug-2007,40387
Sep-2007,37675
Oct-2007,39425
Nov-2007,39802
Dec-2007,39014
Jan-2008,38690
Feb-2008,37616
Mar-2008,42226
Apr-2008,43663
May-2008,48512
Jun-2008,50085
Jul-2008,51728
Aug-2008,49068
Sep-2008,45182
Oct-2008,40625
Nov-2008,29869
Dec-2008,26375
Jan-2009,26541
Feb-2009,25620
Mar-2009,28450
Apr-2009,29437
May-2009,32958
Jun-2009,35945
Jul-2009,36339
Aug-2009,36980
Sep-2009,34348
Oct-2009,35025
Nov-2009,34342
Dec-2009,35249
Jan-2010,34145
Feb-2010,31888
Mar-2010,37234
Apr-2010,38297
May-2010,39168
Jun-2010,38208
Jul-2010,39054
Aug-2010,38541
Sep-2010,37170
Oct-2010,38480
Nov-2010,37073
Dec-2010,39091
Jan-2011,38018
Feb-2011,36669
Mar-2011,44349
Apr-2011,45853
May-2011,48245
Jun-2011,47514
Jul-2011,48200
Aug-2011,48320
Sep-2011,45443
Oct-2011,45115
Nov-2011,42976
Dec-2011,42755
Jan-2012,41406
Feb-2012,42218
Mar-2012,48397
Apr-2012,47664
May-2012,49198
Jun-2012,46483
Jul-2012,46658
Aug-2012,50195
Sep-2012,47201
Oct-2012,48983
Nov-2012,44434
Dec-2012,42582
Jan-2013,41695
Feb-2013,42099
Mar-2013,47534
Apr-2013,46561
May-2013,48878
Jun-2013,48122
Jul-2013,49408
Aug-2013,49105
Sep-2013,45607
Oct-2013,46017
Nov-2013,41921
Dec-2013,42666
Jan-2014,42140
Feb-2014,40169
Mar-2014,45803
Apr-2014,46741
May-2014,49976
Jun-2014,48014
Jul-2014,49143
Aug-2014,48672
Sep-2014,45486
Oct-2014,45437
Nov-2014,40213
Dec-2014,36996
Jan-2015,32445
Feb-2015,31583
Mar-2015,36772
Apr-2015,37070
May-2015,41253
Jun-2015,41820
Jul-2015,42875
Aug-2015,40935
Sep-2015,36631
Oct-2015,37020
Nov-2015,33023
Dec-2015,32600
Jan-2016,30076
Feb-2016,28095
Mar-2016,32564
Apr-2016,34218
May-2016,37644
Jun-2016,38861
Jul-2016,38563
Aug-2016,37585
Sep-2016,36768
Oct-2016,37769
Nov-2016,34683
Dec-2016,35966
Jan-2017,34744
Feb-2017,33062
Mar-2017,37774
Apr-2017,38108
May-2017,39862
Jun-2017,39070
Jul-2017,38787
Aug-2017,40148
Sep-2017,40181
Oct-2017,40448
Nov-2017,38780
Dec-2017,38499
Jan-2018,37539
Feb-2018,35554
Mar-2018,40672
Apr-2018,41052
May-2018,45760
Jun-2018,45128
Jul-2018,45502
Aug-2018,46290
Sep-2018,43022
Oct-2018,45599
Nov-2018,40753
Dec-2018,37054
Jan-2019,35414
Feb-2019,34549
Mar-2019,40960
Apr-2019,43144
May-2019,46218
Jun-2019,43823
Jul-2019,45450
Aug-2019,45043
Sep-2019,41936
Oct-2019,43602
Nov-2019,40730
Dec-2019,40203
Jan-2020,38940
Feb-2020,36263
Mar-2020,33586
Apr-2020,26303
May-2020,31669
Jun-2020,"NA"
Jul-2020,"NA"
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
