Period,Value
Jan-04,61146
Feb-04,65230
Mar-04,78662
Apr-04,73252
May-04,77491
Jun-04,75355
Jul-04,78837
Aug-04,76377
Sep-04,73580
Oct-04,68745
Nov-04,65221
Dec-04,72476
Jan-05,61936
Feb-05,66945
Mar-05,80609
Apr-05,77669
May-05,78327
Jun-05,85378
Jul-05,87710
Aug-05,81220
Sep-05,69412
Oct-05,63594
Nov-05,64845
Dec-05,70662
Jan-06,65737
Feb-06,67452
Mar-06,82754
Apr-06,76180
May-06,81517
Jun-06,80599
Jul-06,80889
Aug-06,82997
Sep-06,73000
Oct-06,70365
Nov-06,67512
Dec-06,70995
Jan-07,66585
Feb-07,69373
Mar-07,83833
Apr-07,77265
May-07,85183
Jun-07,79824
Jul-07,79097
Aug-07,84633
Sep-07,73470
Oct-07,74461
Nov-07,67344
Dec-07,69071
Jan-08,65843
Feb-08,69030
Mar-08,76614
Apr-08,73736
May-08,76127
Jun-08,69428
Jul-08,69677
Aug-08,69676
Sep-08,60489
Oct-08,55026
Nov-08,47866
Dec-08,52353
Jan-09,50093
Feb-09,50006
Mar-09,57133
Apr-09,55939
May-09,57732
Jun-09,59522
Jul-09,62300
Aug-09,66182
Sep-09,52123
Oct-09,54866
Nov-09,50024
Dec-09,55852
Jan-10,49870
Feb-10,51822
Mar-10,67448
Apr-10,64368
May-10,65243
Jun-10,64700
Jul-10,67006
Aug-10,66074
Sep-10,61654
Oct-10,61386
Nov-10,58830
Dec-10,64512
Jan-11,57881
Feb-11,62575
Mar-11,75168
Apr-11,69542
May-11,69277
Jun-11,70201
Jul-11,69178
Aug-11,71295
Sep-11,66956
Oct-11,65913
Nov-11,63968
Dec-11,70984
Jan-12,62268
Feb-12,70329
Mar-12,81157
Apr-12,73491
May-12,79796
Jun-12,75954
Jul-12,75239
Aug-12,80728
Sep-12,71318
Oct-12,72301
Nov-12,69694
Dec-12,74219
Jan-13,69337
Feb-13,73035
Mar-13,83637
Apr-13,81495
May-13,86702
Jun-13,82571
Jul-13,86006
Aug-13,88654
Sep-13,75491
Oct-13,78782
Nov-13,75389
Dec-13,78195
Jan-14,70382
Feb-14,74954
Mar-14,90488
Apr-14,87959
May-14,93239
Jun-14,86715
Jul-14,91275
Aug-14,92624
Sep-14,83365
Oct-14,84334
Nov-14,78968
Dec-14,86548
Jan-15,78427
Feb-15,79512
Mar-15,96419
Apr-15,93672
May-15,97424
Jun-15,94600
Jul-15,97756
Aug-15,97898
Sep-15,90772
Oct-15,90400
Nov-15,84094
Dec-15,93138
Jan-16,80100
Feb-16,89308
Mar-16,100254
Apr-16,96838
May-16,98082
Jun-16,97700
Jul-16,98961
Aug-16,103307
Sep-16,94749
Oct-16,92033
Nov-16,89366
Dec-16,99916
Jan-17,84235
Feb-17,88434
Mar-17,105183
Apr-17,96332
May-17,104569
Jun-17,101574
Jul-17,101141
Aug-17,103617
Sep-17,98778
Oct-17,96179
Nov-17,93524
Dec-17,98801
Jan-18,87048
Feb-18,88542
Mar-18,108350
Apr-18,98248
May-18,107939
Jun-18,103701
Jul-18,102680
Aug-18,107191
Sep-18,94975
Oct-18,98046
Nov-18,94379
Dec-18,100222
Jan-19,87114
Feb-19,89009
Mar-19,109845
Apr-19,103156
May-19,111772
Jun-19,104743
Jul-19,109269
Aug-19,114659
Sep-19,99537
Oct-19,103801
Nov-19,101101
Dec-19,103463
Jan-20,93268
Feb-20,97859
Mar-20,82677
Apr-20,69889
May-20,104684
Jun-20,NA
Jul-20,NA
Aug-20,NA
Sep-20,NA
Oct-20,NA
Nov-20,NA
Dec-20,NA
