Category: Trucks & SUVs

Month,Geo: United States
2004-01,97
2004-02,97
2004-03,93
2004-04,94
2004-05,92
2004-06,93
2004-07,97
2004-08,98
2004-09,100
2004-10,87
2004-11,83
2004-12,87
2005-01,91
2005-02,92
2005-03,89
2005-04,82
2005-05,82
2005-06,87
2005-07,96
2005-08,96
2005-09,77
2005-10,77
2005-11,75
2005-12,76
2006-01,80
2006-02,80
2006-03,79
2006-04,82
2006-05,77
2006-06,81
2006-07,87
2006-08,86
2006-09,77
2006-10,73
2006-11,71
2006-12,72
2007-01,75
2007-02,78
2007-03,77
2007-04,74
2007-05,73
2007-06,72
2007-07,81
2007-08,82
2007-09,74
2007-10,70
2007-11,67
2007-12,69
2008-01,69
2008-02,72
2008-03,70
2008-04,67
2008-05,66
2008-06,62
2008-07,63
2008-08,65
2008-09,60
2008-10,57
2008-11,56
2008-12,61
2009-01,61
2009-02,58
2009-03,58
2009-04,59
2009-05,56
2009-06,58
2009-07,61
2009-08,66
2009-09,55
2009-10,56
2009-11,52
2009-12,56
2010-01,55
2010-02,59
2010-03,57
2010-04,56
2010-05,54
2010-06,55
2010-07,61
2010-08,61
2010-09,57
2010-10,54
2010-11,52
2010-12,55
2011-01,66
2011-02,70
2011-03,68
2011-04,66
2011-05,64
2011-06,65
2011-07,69
